Date,Close,Predictions,Stock,Model,Method
2016-01-04,12600,,STB,SkLearn,None
2016-01-05,12300,,STB,SkLearn,None
2016-01-06,12800,,STB,SkLearn,None
2016-01-07,12600,,STB,SkLearn,None
2016-01-08,12600,,STB,SkLearn,None
2016-01-11,12300,,STB,SkLearn,None
2016-01-12,12500,,STB,SkLearn,None
2016-01-13,12400,,STB,SkLearn,None
2016-01-14,11900,,STB,SkLearn,None
2016-01-15,11100,,STB,SkLearn,None
2016-01-18,10700,,STB,SkLearn,None
2016-01-19,11200,,STB,SkLearn,None
2016-01-20,10900,,STB,SkLearn,None
2016-01-21,10600,,STB,SkLearn,None
2016-01-22,10900,,STB,SkLearn,None
2016-01-25,11600,,STB,SkLearn,None
2016-01-26,11100,,STB,SkLearn,None
2016-01-27,11200,,STB,SkLearn,None
2016-01-28,11300,,STB,SkLearn,None
2016-01-29,11300,,STB,SkLearn,None
2016-02-01,11200,,STB,SkLearn,None
2016-02-02,11100,,STB,SkLearn,None
2016-02-03,11100,,STB,SkLearn,None
2016-02-04,11200,,STB,SkLearn,None
2016-02-05,11200,,STB,SkLearn,None
2016-02-15,11000,,STB,SkLearn,None
2016-02-16,10900,,STB,SkLearn,None
2016-02-17,10600,,STB,SkLearn,None
2016-02-18,11000,,STB,SkLearn,None
2016-02-19,11000,,STB,SkLearn,None
2016-02-22,10800,,STB,SkLearn,None
2016-02-23,10900,,STB,SkLearn,None
2016-02-24,11200,,STB,SkLearn,None
2016-02-25,11100,,STB,SkLearn,None
2016-02-26,11200,,STB,SkLearn,None
2016-02-29,11000,,STB,SkLearn,None
2016-03-01,10900,,STB,SkLearn,None
2016-03-02,11100,,STB,SkLearn,None
2016-03-03,11000,,STB,SkLearn,None
2016-03-04,11000,,STB,SkLearn,None
2016-03-07,11000,,STB,SkLearn,None
2016-03-08,10900,,STB,SkLearn,None
2016-03-09,10900,,STB,SkLearn,None
2016-03-10,10900,,STB,SkLearn,None
2016-03-11,11000,,STB,SkLearn,None
2016-03-14,11000,,STB,SkLearn,None
2016-03-15,10800,,STB,SkLearn,None
2016-03-16,10700,,STB,SkLearn,None
2016-03-17,10800,,STB,SkLearn,None
2016-03-18,10400,,STB,SkLearn,None
2016-03-21,10600,,STB,SkLearn,None
2016-03-22,10600,,STB,SkLearn,None
2016-03-23,10600,,STB,SkLearn,None
2016-03-24,10300,,STB,SkLearn,None
2016-03-25,10400,,STB,SkLearn,None
2016-03-28,10300,,STB,SkLearn,None
2016-03-29,10100,,STB,SkLearn,None
2016-03-30,10300,,STB,SkLearn,None
2016-03-31,10300,,STB,SkLearn,None
2016-04-01,10300,,STB,SkLearn,None
2016-04-04,10300,,STB,SkLearn,None
2016-04-05,10200,,STB,SkLearn,None
2016-04-06,10300,,STB,SkLearn,None
2016-04-07,10100,,STB,SkLearn,None
2016-04-08,10100,,STB,SkLearn,None
2016-04-11,10100,,STB,SkLearn,None
2016-04-12,10100,,STB,SkLearn,None
2016-04-13,10200,,STB,SkLearn,None
2016-04-14,10200,,STB,SkLearn,None
2016-04-15,10100,,STB,SkLearn,None
2016-04-19,10000,,STB,SkLearn,None
2016-04-20,10000,,STB,SkLearn,None
2016-04-21,10200,,STB,SkLearn,None
2016-04-22,10200,,STB,SkLearn,None
2016-04-25,10300,,STB,SkLearn,None
2016-04-26,10200,,STB,SkLearn,None
2016-04-27,10200,,STB,SkLearn,None
2016-04-28,10300,,STB,SkLearn,None
2016-04-29,10300,,STB,SkLearn,None
2016-05-04,10200,,STB,SkLearn,None
2016-05-05,10300,,STB,SkLearn,None
2016-05-06,10300,,STB,SkLearn,None
2016-05-09,10300,,STB,SkLearn,None
2016-05-10,10400,,STB,SkLearn,None
2016-05-11,10300,,STB,SkLearn,None
2016-05-12,11000,,STB,SkLearn,None
2016-05-13,11700,,STB,SkLearn,None
2016-05-16,12100,,STB,SkLearn,None
2016-05-17,12700,,STB,SkLearn,None
2016-05-18,12600,,STB,SkLearn,None
2016-05-19,12400,,STB,SkLearn,None
2016-05-20,11900,,STB,SkLearn,None
2016-05-23,11700,,STB,SkLearn,None
2016-05-24,11500,,STB,SkLearn,None
2016-05-25,11200,,STB,SkLearn,None
2016-05-26,11000,,STB,SkLearn,None
2016-05-27,11300,,STB,SkLearn,None
2016-05-30,11100,,STB,SkLearn,None
2016-05-31,11000,,STB,SkLearn,None
2016-06-01,11100,,STB,SkLearn,None
2016-06-02,11200,,STB,SkLearn,None
2016-06-03,11300,,STB,SkLearn,None
2016-06-06,12000,,STB,SkLearn,None
2016-06-07,11900,,STB,SkLearn,None
2016-06-08,12100,,STB,SkLearn,None
2016-06-09,12100,,STB,SkLearn,None
2016-06-10,11500,,STB,SkLearn,None
2016-06-13,11800,,STB,SkLearn,None
2016-06-14,11800,,STB,SkLearn,None
2016-06-15,11700,,STB,SkLearn,None
2016-06-16,11600,,STB,SkLearn,None
2016-06-17,11300,,STB,SkLearn,None
2016-06-20,11300,,STB,SkLearn,None
2016-06-21,11500,,STB,SkLearn,None
2016-06-22,11500,,STB,SkLearn,None
2016-06-23,11500,,STB,SkLearn,None
2016-06-24,11300,,STB,SkLearn,None
2016-06-27,11300,,STB,SkLearn,None
2016-06-28,11300,,STB,SkLearn,None
2016-06-29,11400,,STB,SkLearn,None
2016-06-30,11300,,STB,SkLearn,None
2016-07-01,11300,,STB,SkLearn,None
2016-07-04,11300,,STB,SkLearn,None
2016-07-05,11400,,STB,SkLearn,None
2016-07-06,11300,,STB,SkLearn,None
2016-07-07,11200,,STB,SkLearn,None
2016-07-08,11200,,STB,SkLearn,None
2016-07-11,11200,,STB,SkLearn,None
2016-07-12,11200,,STB,SkLearn,None
2016-07-13,11500,,STB,SkLearn,None
2016-07-14,11500,,STB,SkLearn,None
2016-07-15,11900,,STB,SkLearn,None
2016-07-18,12100,,STB,SkLearn,None
2016-07-19,11600,,STB,SkLearn,None
2016-07-20,11200,,STB,SkLearn,None
2016-07-21,11300,,STB,SkLearn,None
2016-07-22,11100,,STB,SkLearn,None
2016-07-25,11000,,STB,SkLearn,None
2016-07-26,11200,,STB,SkLearn,None
2016-07-27,11200,,STB,SkLearn,None
2016-07-28,11200,,STB,SkLearn,None
2016-07-29,11300,,STB,SkLearn,None
2016-08-01,11200,,STB,SkLearn,None
2016-08-02,11100,,STB,SkLearn,None
2016-08-03,11000,,STB,SkLearn,None
2016-08-04,10500,,STB,SkLearn,None
2016-08-05,11000,,STB,SkLearn,None
2016-08-08,10900,,STB,SkLearn,None
2016-08-09,10700,,STB,SkLearn,None
2016-08-10,10800,,STB,SkLearn,None
2016-08-11,10900,,STB,SkLearn,None
2016-08-12,10900,,STB,SkLearn,None
